id,groupname
1,核心账务系统
2,电子账户系统
3,信用卡核心系统
4,IC卡系统
5,新理财系统
6,信贷管理系统
7,国际结算系统
8,综合前置系统
9,ECIF企业级客户信息管理系统
10,支付密码系统
11,验印系统
12,ESB企业服务总线系统
13,加密平台系统
14,影像管理系统
15,柜面系统
16,集中作业系统
17,门户网站系统
18,手机银行系统
19,网上银行系统
20,直销银行系统
21,自助设备系统
22,统一P端系统
23,电子渠道整合系统
24,短信平台系统
25,信用卡微信系统
26,多媒体客服系统
27,远程银行系统
28,银企直连系统
29,支付网关系统
30,移动贷款系统
31,积分商城系统
32,代收公共事业系统
33,代理保险系统
34,代理公积金系统
35,代理财税系统
36,代理其他系统
37,三方存管系统
38,光大云缴费系统
39,基金系统
40,银联数据信用卡前置系统
41,银联前置系统
42,省联社清算系统
43,柜面通系统
44,支票影像系统
45,电子商业汇票系统
46,同城支付系统
47,二代支付系统
48,第三方支付系统
49,SWIFT系统
50,零币兑换系统
51,资金牌价系统
52,财务系统
53,资金系统
54,互联网收单系统
55,融资类业务系统
56,身份核查系统
57,地图系统
58,汇金密码锁系统
59,数据平台系统
60,GBASE系统
61,智能大堂服务管理系统
62,家金服务经理营销系统
63,客户经理营销管理系统
64,TSM发卡系统
65,移动发卡系统
66,CRM客户信息关系管理系统
67,金融信息查控系统
68,头寸管理系统
69,信用卡外围系统
70,征信查询管理系统
71,新OA系统
72,合规系统
73,会计综合管理系统
74,人力资源系统
75,云存储系统
76,非零售内部数据共享系统
77,培训考试系统
78,实物资产管理系统
79,移动终端管理系统
80,绩效系统
81,管理会计系统
82,项目管理系统
83,凭证配送系统
84,服务评价器系统
85,人行ACS系统
86,电子银行风险预警监控系统
87,黑名单监测系统
88,科技风险管理系统
89,审计系统
90,基础环境监控系统
91,应用监控系统
92,Tivoli监控系统
93,安全审计系统
94,防病毒系统
95,桌面安全系统
96,视频监控系统
97,网络监控系统
98,集中申报系统
99,反洗钱系统
100,金融统计标准化系统
101,EAST报送系统
102,人行支付信息统计分析系统
103,理财与资金信托数据报送系统
104,征信报送管理系统
105,人民币冠字号管理系统
106,客户风险统计报送系统
107,个人外汇业务报送系统
108,录音录像系统
109,配置管理系统
110,邮件系统
111,省联社数据整合
112,自助设备监控系统
113,代码自动扫描系统
114,自动化测试系统
115,密钥管理系统
116,FreeStar微信服务号
117,统一调度平台
118,增值税管理系统
119,村镇核心账务系统
120,村镇信贷管理系统
121,村镇综合前置系统
122,村镇IC卡系统
123,村镇柜面系统
124,村镇手机银行系统
125,村镇网上银行系统
126,村镇统一P端系统
127,村镇移动发卡系统
128,村镇同城支付系统
129,村镇培训考试系统
130,村镇绩效系统
131,村镇反洗钱系统
132,村镇金融统计标准化系统
133,村镇EAST报送系统
134,村镇征信报送管理系统
135,村镇融资类业务系统
136,非零售内评系统
137,资产负债管理系统
138,村级财务支付系统
